Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
461,4425250501305,7.0,0.0,4.25,5.96,5.96,2024-01-02
461,4430857029246,7.0,0.0,13.23,17.26,17.26,2024-01-02
461,4427820532315,7.0,0.0,10.17,15.12,15.12,2024-01-02
461,5832750006601,5.2,0.0,10.3,17.72,17.72,2024-01-02
461,4427243280018,3.0,0.0,5.3,6.63,6.63,2024-01-02
461,4427243325111,8.0,0.0,6.8,8.66,8.66,2024-01-02
461,35142089436,3.14,0.0,8.4,10.66,10.66,2024-01-02
461,4427820532315,8.0,0.0,6.53,9.71,9.71,2024-01-02
461,4425015000580,9.0,0.0,10.75,16.05,16.05,2024-01-02
461,3901020508013,5.0,0.0,4.08,5.88,5.88,2024-01-02
461,3901020491529,3.0,0.0,5.79,8.28,8.28,2024-01-02
461,4428959956252,9.0,23.0,0.88,2.02,1.65,2024-01-02
461,4427243325150,9.0,0.0,6.22,7.93,7.93,2024-01-02
461,3510004427,1.17,0.0,9.47,11.87,11.87,2024-01-02
461,3510000945,10.0,0.0,3.12,3.98,3.98,2024-01-02
461,4426454327306,3.0,0.0,6.95,9.32,9.32,2024-01-02
461,4427715840328,4.0,23.0,38.91,50.24,40.83,2024-01-02
461,4427243326893,7.0,0.0,3.59,4.47,4.47,2024-01-02
461,4427243326008,11.0,0.0,8.44,10.83,10.83,2024-01-02
461,35142092004,3.24,0.0,13.7,19.04,19.04,2024-01-02
461,35142089188,7.27,0.0,15.96,23.07,23.07,2024-01-02
461,35142089976,10.11,0.0,40.95,40.95,40.95,2024-01-02
461,35142089976,10.9,0.0,27.25,27.25,27.25,2024-01-02
461,35142085431,9.0,0.0,3.09,4.32,4.32,2024-01-02
461,35142089982,3.19,0.0,5.58,7.97,7.97,2024-01-02
461,35142089436,8.16,0.0,7.39,9.37,9.37,2024-01-02
461,4430081499355,6.0,0.0,13.18,18.81,18.81,2024-01-02
461,4425063757585,10.0,0.0,2.03,3.23,3.23,2024-01-02
461,4426403250278,4.0,0.0,2.71,4.0,4.0,2024-01-02
461,4425851269359,4.0,8.0,2.8,4.69,4.33,2024-01-02
461,35142085431,10.0,0.0,3.16,4.4,4.4,2024-01-02
461,4425384337552,8.0,0.0,3.44,4.8,4.8,2024-01-02
461,4425250513221,10.0,0.0,8.58,12.85,12.85,2024-01-02
461,60039570,10.0,0.0,3.26,5.68,5.68,2024-01-02
461,4426929757005,7.0,23.0,5.21,9.57,7.79,2024-01-02
461,35142085431,5.0,0.0,3.22,4.5,4.5,2024-01-02
461,35142089511,1.17,5.0,4.64,6.19,5.9,2024-01-02
461,4425063755558,7.0,0.0,2.61,3.73,3.73,2024-01-02
461,4426635015078,2.0,0.0,4.7,6.27,6.27,2024-01-02
461,44304345,8.0,23.0,12.86,16.71,13.58,2024-01-02
461,4430857029246,5.0,0.0,18.21,23.75,23.75,2024-01-02
461,5832750010672,2.31,0.0,8.76,11.31,11.31,2024-01-02
461,3510004427,3.12,0.0,7.38,9.24,9.24,2024-01-02
461,4427243325785,3.0,0.0,4.0,5.12,5.12,2024-01-02
461,35142087702,1.19,0.0,10.2,13.49,13.49,2024-01-02
461,4425717151008,2.0,0.0,3.4,4.44,4.44,2024-01-02
461,5832750010672,4.34,0.0,14.16,18.29,18.29,2024-01-02
461,5832750007270,9.22,0.0,3.19,4.88,4.88,2024-01-02
461,4425009000174,6.0,0.0,9.61,14.02,14.02,2024-01-02
461,35142091275,2.21,0.0,9.3,12.34,12.34,2024-01-02
